sourcemac;timestamp;x_m;y_m;z_m;eta
38f3bac0f9e453211a65d468359ded4a56669add0be69079924e901f0b41d4f6;2018-01-26 10:20:15;17.0617602221;64.8783823195;8.97921345351;-61.9021027991
38f3bac0f9e453211a65d468359ded4a56669add0be69079924e901f0b41d4f6;2018-01-26 10:20:45;18.2331647292;64.0081295661;9.89829854324;-65.3645188553
38f3bac0f9e453211a65d468359ded4a56669add0be69079924e901f0b41d4f6;2018-01-26 10:38:30;-9.16340132034;68.2444138559;4.32480282548;-47.2232679938
38f3bac0f9e453211a65d468359ded4a56669add0be69079924e901f0b41d4f6;2018-01-26 10:38:45;17.4499144879;65.6032209226;8.65470949136;-46.3513361194
38f3bac0f9e453211a65d468359ded4a56669add0be69079924e901f0b41d4f6;2018-01-26 10:39:00;-10.7588182778;68.6253662273;0.745015976669;-47.4686117068
38f3bac0f9e453211a65d468359ded4a56669add0be69079924e901f0b41d4f6;2018-01-26 10:39:15;-7.30474943786;55.5889037;-14.6369657662;-42.4216919813
38f3bac0f9e453211a65d468359ded4a56669add0be69079924e901f0b41d4f6;2018-01-26 10:39:30;-6.89655475547;73.8368535111;0.9887442319;-47.7676845784
38f3bac0f9e453211a65d468359ded4a56669add0be69079924e901f0b41d4f6;2018-01-26 10:39:45;21.7069634264;72.1543274336;7.86365449325;-46.0294891121
38f3bac0f9e453211a65d468359ded4a56669add0be69079924e901f0b41d4f6;2018-01-26 10:40:00;-14.170519081;65.9198137256;-3.13844112246;-46.2808869665
38f3bac0f9e453211a65d468359ded4a56669add0be69079924e901f0b41d4f6;2018-01-26 10:40:15;-35.8541940632;45.5052230372;-18.0353200091;-41.5181126377
38f3bac0f9e453211a65d468359ded4a56669add0be69079924e901f0b41d4f6;2018-01-26 10:40:30;-1.44853808408;70.2765645479;-0.0818235058871;-48.5514631896
38f3bac0f9e453211a65d468359ded4a56669add0be69079924e901f0b41d4f6;2018-01-26 10:40:45;17.5753951659;65.7756871732;8.62199074752;-49.0283911297
38f3bac0f9e453211a65d468359ded4a56669add0be69079924e901f0b41d4f6;2018-01-26 10:41:00;0.256032807301;72.9668900432;-4.58778157652;-46.850066073
38f3bac0f9e453211a65d468359ded4a56669add0be69079924e901f0b41d4f6;2018-01-26 10:41:15;-0.114844892348;73.0988518399;-6.69528247672;-47.8942186217
38f3bac0f9e453211a65d468359ded4a56669add0be69079924e901f0b41d4f6;2018-01-26 10:41:30;-0.442043222292;73.2143107409;0.971994120545;-48.4541376962
38f3bac0f9e453211a65d468359ded4a56669add0be69079924e901f0b41d4f6;2018-01-26 10:41:45;21.0471496522;73.4734955157;10.0198179432;-47.7100930615
38f3bac0f9e453211a65d468359ded4a56669add0be69079924e901f0b41d4f6;2018-01-26 10:42:00;-4.60998890565;69.5489132865;4.33439813588;-47.0005738891
38f3bac0f9e453211a65d468359ded4a56669add0be69079924e901f0b41d4f6;2018-01-26 10:42:15;-7.35298056195;68.3974116376;1.83072656257;-48.9423086686
38f3bac0f9e453211a65d468359ded4a56669add0be69079924e901f0b41d4f6;2018-01-26 10:42:30;-4.6614712905;74.5794753972;4.93590176796;-48.9464034765
38f3bac0f9e453211a65d468359ded4a56669add0be69079924e901f0b41d4f6;2018-01-26 10:42:45;17.336989488;65.5438329292;8.4514198521;-47.1101588963
38f3bac0f9e453211a65d468359ded4a56669add0be69079924e901f0b41d4f6;2018-01-26 10:43:00;-1.66285624735;71.6976791431;-0.862174459919;-48.5379404408
38f3bac0f9e453211a65d468359ded4a56669add0be69079924e901f0b41d4f6;2018-01-26 10:43:15;0.194142734283;71.3113459195;0.362830864037;-49.8896229819
38f3bac0f9e453211a65d468359ded4a56669add0be69079924e901f0b41d4f6;2018-01-26 10:43:30;-3.24256395047;71.3156877081;0.810018012302;-49.0205009171
38f3bac0f9e453211a65d468359ded4a56669add0be69079924e901f0b41d4f6;2018-01-26 10:43:45;-4.82531418268;68.1641989218;5.01133888188;-48.2886020424
38f3bac0f9e453211a65d468359ded4a56669add0be69079924e901f0b41d4f6;2018-01-26 10:44:00;17.1421333269;65.4244530031;8.81462550381;-46.9178217014
38f3bac0f9e453211a65d468359ded4a56669add0be69079924e901f0b41d4f6;2018-01-26 10:44:15;-5.16469299782;71.3100790255;-1.84135396523;-47.5932239687
38f3bac0f9e453211a65d468359ded4a56669add0be69079924e901f0b41d4f6;2018-01-26 10:44:30;-3.51439726122;63.7333616774;3.97197590292;-45.6895862545
