time;ap_adres
10.26.00;f84a-bf5a-4940
10.56.00;f84a-bf5a-5040
11.06.00;
-----
11.14.00;30d1-7ee5-1be0
11.15.00;30d1-7ee5-1e00
11.16.00;30d1-7ee5-1be0
11.19.00
