sourcemac;timestamp;x_m;y_m;z_m;eta
437aab3f88a56f32a428df1fc6b2c140bebd28cdf7601a767854c5b41e8d52c5;1518086113;-22.3937990164;71.3006498652;28.1461356734;-46.3306561752
437aab3f88a56f32a428df1fc6b2c140bebd28cdf7601a767854c5b41e8d52c5;1518086173;-36.2223314969;26.4731149426;-34.8304149239;-34.6345295678
437aab3f88a56f32a428df1fc6b2c140bebd28cdf7601a767854c5b41e8d52c5;1518086233;89.0658075432;165.284982662;-71.9071572786;-26.3177594924
437aab3f88a56f32a428df1fc6b2c140bebd28cdf7601a767854c5b41e8d52c5;1518086293;95.6162875062;68.3909026134;42.2396703154;-38.1411476496
437aab3f88a56f32a428df1fc6b2c140bebd28cdf7601a767854c5b41e8d52c5;1518086353;72.2840980442;67.335013767;-38.6213157551;-36.6090120365
437aab3f88a56f32a428df1fc6b2c140bebd28cdf7601a767854c5b41e8d52c5;1518086413;99.92019541;-26.4322370166;23.8195679725;-35.7688298701
437aab3f88a56f32a428df1fc6b2c140bebd28cdf7601a767854c5b41e8d52c5;1518086473;73.6780003653;12.1901216101;16.8146127516;-42.1445101582
437aab3f88a56f32a428df1fc6b2c140bebd28cdf7601a767854c5b41e8d52c5;1518086533;53.4222048235;13.447895564;-26.9911025606;-37.4008633496
437aab3f88a56f32a428df1fc6b2c140bebd28cdf7601a767854c5b41e8d52c5;1518086593;54.1708707812;38.5965094152;127.501442518;-31.5407870597
437aab3f88a56f32a428df1fc6b2c140bebd28cdf7601a767854c5b41e8d52c5;1518086653;42.3079864198;16.665824586;-11.8057681529;-35.7866169651
437aab3f88a56f32a428df1fc6b2c140bebd28cdf7601a767854c5b41e8d52c5;1518086713;280.950114345;127.05460198;42.0469176751;-22.864729936
437aab3f88a56f32a428df1fc6b2c140bebd28cdf7601a767854c5b41e8d52c5;1518086773;95.8242215833;-37.9731661106;76.6464545285;-36.6077920855
437aab3f88a56f32a428df1fc6b2c140bebd28cdf7601a767854c5b41e8d52c5;1518086833;104.82598752;-39.2457093558;-51.4847103902;-35.1915473528
437aab3f88a56f32a428df1fc6b2c140bebd28cdf7601a767854c5b41e8d52c5;1518086893;69.7496972315;-46.1524470296;9.27061667039;-46.9367547017
437aab3f88a56f32a428df1fc6b2c140bebd28cdf7601a767854c5b41e8d52c5;1518086953;56.8902674918;-44.1919228041;-133.411772978;-28.2207949676
437aab3f88a56f32a428df1fc6b2c140bebd28cdf7601a767854c5b41e8d52c5;1518087013;89.7070364304;10.8887985529;-57.7787981728;-29.4821038753
437aab3f88a56f32a428df1fc6b2c140bebd28cdf7601a767854c5b41e8d52c5;1518087073;-11.0914046233;-58.9261605017;-49.4300070887;-35.0273439483
437aab3f88a56f32a428df1fc6b2c140bebd28cdf7601a767854c5b41e8d52c5;1518087133;-36.0314591822;-90.9603025849;91.7601102639;-32.4986808244
437aab3f88a56f32a428df1fc6b2c140bebd28cdf7601a767854c5b41e8d52c5;1518087193;17.2417549107;-21.7187751388;-196.814923145;-23.0252830481
437aab3f88a56f32a428df1fc6b2c140bebd28cdf7601a767854c5b41e8d52c5;1518087253;203.591821339;-986.108833756;-186.539795938;-9.89848213711
437aab3f88a56f32a428df1fc6b2c140bebd28cdf7601a767854c5b41e8d52c5;1518087313;-144.963461424;-161.22477725;-189.421827423;-21.4986906343
437aab3f88a56f32a428df1fc6b2c140bebd28cdf7601a767854c5b41e8d52c5;1518087373;-62.7846306194;-17.0779742901;89.9806136566;-31.8518984883
437aab3f88a56f32a428df1fc6b2c140bebd28cdf7601a767854c5b41e8d52c5;1518087433;12.6441879926;84.1698556263;12.0302701426;-29.5526310312
437aab3f88a56f32a428df1fc6b2c140bebd28cdf7601a767854c5b41e8d52c5;1518087493;-49.661689177;63.2319142981;39.367014685;-43.8048029767
437aab3f88a56f32a428df1fc6b2c140bebd28cdf7601a767854c5b41e8d52c5;1518087553;-85.7926817611;51.5911321621;-30.1787220221;-34.8180340418
437aab3f88a56f32a428df1fc6b2c140bebd28cdf7601a767854c5b41e8d52c5;1518087613;-7.22245568343;85.6635191022;-47.5173457833;-35.1219966668
437aab3f88a56f32a428df1fc6b2c140bebd28cdf7601a767854c5b41e8d52c5;1518087673;-50.1802012965;131.638117963;11.2157181798;-37.1581226095
437aab3f88a56f32a428df1fc6b2c140bebd28cdf7601a767854c5b41e8d52c5;1518087733;1.99298919526;115.81409484;7.33108735176;-40.4174819069
437aab3f88a56f32a428df1fc6b2c140bebd28cdf7601a767854c5b41e8d52c5;1518087793;-25.0242989894;45.4538189727;7.67539318994;-42.9765364905
